original_title,cast,director,runtime,genres,production_companies,release_year,budget,revenue
The Sound of Music,Julie Andrews|Christopher Plummer|Eleanor Parker|Richard Haydn|Peggy Wood,Robert Wise,174,Drama|Family|Music|Romance,Robert Wise Productions|Argyle Enterprises,1965,5674862229,1129534862
Lincoln,Daniel Day-Lewis|Sally Field|David Strathairn|Joseph Gordon-Levitt|James Spader,Steven Spielberg,149,Drama|War,DreamWorks|Amblin Entertainment|Twentieth Century Fox Film Corporation|Dune Entertainment|The Kennedy/Marshall Company,2012,6173337829,2614583798
Outcast,Hayden Christensen|Nicolas Cage|Liu Yifei|Summer Jike|Andy On,Nick Powell,98,Action,Media Max Productions|22h22|Notorious Films,2014,2302727627,0
Van Wilder: Freshman Year,Jonathan Bennett|Kristin Cavallari|Jerry Shea|Nestor Aaron Absera|Steve Talley,Harvey Glazer,100,Comedy,Tapestry Films|Paramount Home Entertainment,2009,0,0
The Legend of Zorro,Antonio Banderas|Catherine Zeta-Jones|AdriÃ¡n Alonso Barona|Julio Oscar Mechoso|Nick Chinlund,Martin Campbell,129,Action|Adventure|Drama|Western,Amblin Entertainment|Columbia Pictures Corporation,2005,8374224672,158998685
Saw,Cary Elwes|Danny Glover|Monica Potter|Michael Emerson|Ken Leung,James Wan,103,Horror|Mystery|Crime,Twisted Pictures|Evolution Entertainment|Saw Productions Inc.,2004,138533448,1199603483
Natural Born Killers,Woody Harrelson|Juliette Lewis|Robert Downey Jr.|Tommy Lee Jones|Tom Sizemore,Oliver Stone,119,Crime|Thriller|Drama,Regency Enterprises|Alcor Films|Ixtlan|Warner Bros.|New Regency Pictures,1994,5001779309,7397155841
Stuart Little,Michael J. Fox|Geena Davis|Hugh Laurie|Jonathan Lipnicki|Nathan Lane,Rob Minkoff,84,Fantasy,Columbia Pictures Corporation|Global Medien KG|Franklin/Waterman Productions,1999,1741040286,3928930565
Donnie Brasco,Johnny Depp|Al Pacino|Michael Madsen|Bruno Kirby|James Russo,Mike Newell,127,Crime|Drama|Thriller,TriStar Pictures|Mark Johnson Productions|Phoenix Pictures|Baltimore Pictures,1997,4754611124,569941987
Mr. Brooks,Kevin Costner|Demi Moore|Dane Cook|William Hurt|Marg Helgenberger,Bruce A. Evans,120,Drama|Crime|Mystery|Thriller,Tig Productions|Eden Rock Media|Element Films|Relativity Media,2007,2103337165,4378860136
I Know What You Did Last Summer,Jennifer Love Hewitt|Sarah Michelle Gellar|Ryan Phillippe|Freddie Prinze Jr.|Bridgette Wilson,Jim Gillespie,100,Horror|Thriller|Mystery,Columbia Pictures Corporation|Mandalay Entertainment|Summer Knowledge LLC,1997,2309382546,1706037799
What to Expect When You're Expecting,Cameron Diaz|Jennifer Lopez|Elizabeth Banks|Anna Kendrick|Brooklyn Decker,Kirk Jones,110,Romance|Comedy|Drama,Alcon Entertainment|Lionsgate|Phoenix Pictures|What to Expect Productions,2012,3798977125,7569461922
3 Days to Kill,Kevin Costner|Amber Heard|Hailee Steinfeld|Connie Nielsen|TÃ³mas Lemarquis,McG,113,Action|Drama|Thriller|Crime,Wonderland Sound and Vision|EuropaCorp|Relativity Media|3DTK|Feelgood Entertainment,2014,2579054942,0
Spider-Man 2,Tobey Maguire|Kirsten Dunst|James Franco|Alfred Molina|Rosemary Harris,Sam Raimi,127,Action|Adventure|Fantasy,Laura Ziskin Productions|Columbia Pictures Corporation|Marvel Enterprises,2004,230889080,9048154469
Delivery Man,Vince Vaughn|Cobie Smulders|Chris Pratt|Britt Robertson|Jack Reynor,Ken Scott,105,Comedy,DreamWorks SKG|Touchstone Pictures,2013,2433686717,4789130968
Enemy of the State,Will Smith|Gene Hackman|Jon Voight|Lisa Bonet|Regina King,Tony Scott,132,Action|Drama|Thriller,Jerry Bruckheimer Films|Scott Free Productions|Touchstone Pictures|No Such Productions,1998,1203925922,3352931499
Happy Gilmore,Adam Sandler|Christopher McDonald|Julie Bowen|Frances Bay|Carl Weathers,Dennis Dugan,92,Comedy,Universal Pictures|Brillstein-Grey Entertainment|Robert Simonds Productions,1996,1668260087,5728401836
Final Destination,Devon Sawa|Ali Larter|Kerr Smith|Tony Todd|Seann William Scott,James Wong,98,Horror,New Line Cinema|Zide-Perry Productions|Hard Eight Pictures,2000,2912471863,6749629989
Undisputed III: Redemption,Scott Adkins|Mykel Shannon Jenkins|Mark Ivanir|Hristo Shopov|Marko Zaror,Isaac Florentine,96,Action|Thriller,Nu Image Films|Undisputed 3 Productions,2010,3000000,0
This Is the End,James Franco|Jonah Hill|Seth Rogen|Jay Baruchel|Danny McBride,Seth Rogen|Evan Goldberg,107,Action|Comedy,Columbia Pictures|Mandate Pictures|Sony Pictures Entertainment (SPE)|Point Grey Pictures,2013,2995306729,1179788812
The Taking of Pelham 1 2 3,Denzel Washington|John Travolta|Luis GuzmÃ¡n|Victor Gojcaj|John Turturro,Tony Scott,106,Thriller|Drama|Crime,Columbia Pictures|Escape Artists|Scott Free Productions|Relativity Media|Metro-Goldwyn-Mayer (MGM),2009,1016400434,1526289157
Highlander II: The Quickening,Christopher Lambert|Sean Connery|Virginia Madsen|Michael Ironside|John C. McGinley,Russell Mulcahy,91,Action|Fantasy|Science Fiction,Lamb Bear Entertainment,1991,4803278526,2490714462
Arthur Christmas,James McAvoy|Hugh Laurie|Bill Nighy|Jim Broadbent|Imelda Staunton,Sarah Smith|Barry Cook,97,Drama|Animation|Family|Comedy,Columbia Pictures|Aardman Animations|Sony Pictures Animation,2011,0,0
Never Back Down,Sean Faris|Amber Heard|Cam Gigandet|Djimon Hounsou|Evan Peters,Jeff Wadlow,115,Drama|Action,Summit Entertainment|Mandalay Pictures|Baumgarten Management and Productions (BMP),2008,2025573268,4215970572
A Nightmare on Elm Street Part 2: Freddy's Revenge,Robert Englund|Mark Patton|Kim Myers|Robert Rusler|Clu Gulager,Jack Sholder,87,Horror,New Line Cinema|Smart Egg Pictures,1985,6081498157,6081338619
A Walk to Remember,Mandy Moore|Shane West|Peter Coyote|Daryl Hannah|Lauren German,Adam Shankman,101,Drama|Family|Romance,Pandora Pictures|Warner Bros.,2002,1333487533,4997798412
The Invention of Lying,Ricky Gervais|Jennifer Garner|Jonah Hill|Louis C.K.|Jeffrey Tambor,Ricky Gervais|Matthew Robinson,100,Comedy|Romance|Fantasy,Media Rights Capital|Lin Pictures|Warner Bros.|Wintergreen Productions|Lynda Obst Productions,2009,1880340803,3243617666
Clerks,Brian O'Halloran|Jeff Anderson|Jason Mewes|Kevin Smith|Lisa Spoonhauer,Kevin Smith,92,Comedy,Miramax Films|View Askew Productions,1994,3972001216,4635663775
Eragon,Ed Speleers|Jeremy Irons|Sienna Guillory|Robert Carlyle|Djimon Hounsou,Stefen Fangmeier,104,Fantasy|Action|Adventure|Family,Ingenious Film Partners|Twentieth Century Fox Film Corporation|Dune Entertainment|Major Studio Partners|Fox 2000 Pictures,2006,1081669158,2696472547
Misery,James Caan|Kathy Bates|Richard Farnsworth|Frances Sternhagen|Lauren Bacall,Rob Reiner,107,Horror|Thriller,Columbia Pictures|Castle Rock Entertainment|Nelson Entertainment,1990,3337797081,1022648822
Jingle All the Way,Arnold Schwarzenegger|Phil Hartman|Sinbad|Rita Wilson|Jake Lloyd,Brian Levant,89,Comedy|Family,Twentieth Century Fox Film Corporation|1492 Pictures,1996,8341300434,1804951604
Philadelphia,Tom Hanks|Denzel Washington|Jason Robards|Mary Steenburgen|Antonio Banderas,Jonathan Demme,125,Drama|Mystery,TriStar Pictures,1993,39246219,3119748969
Mistress America,Greta Gerwig|Lola Kirke|Charlie Gillette|Dean Wareham|Heather Lind,Noah Baumbach,84,Comedy,RT Features,2015,0,2300395508
The Dictator,Sacha Baron Cohen|Sayed Badreya|Aasif Mandvi|Megan Fox|Anna Faris,Larry Charles,83,Comedy,Paramount Pictures,2012,6173337829,1703646857
The SpongeBob Movie: Sponge Out of Water,Tom Kenny|Bill Fagerbakke|Rodger Bumpass|Clancy Brown|Carolyn Lawrence,Paul Tibbitt,93,Family|Animation,Paramount Pictures|Nickelodeon Movies|Nickelodeon Animation Studios|United Plankton Pictures|Disruption Entertainment,2015,6807997004,2866663833
Jackass Presents: Bad Grandpa,Johnny Knoxville|Jackson Nicoll|Georgina Cates|Spike Jonze|Catherine Keener,Jeff Tremaine,92,Comedy,Paramount Pictures|MTV Films|Dickhouse Productions,2013,1404050029,1421193826
Parker,Jason Statham|Jennifer Lopez|Nick Nolte|Michael Chiklis|Clifton Collins Jr.,Taylor Hackford,118,Action|Crime,SND,2013,3276116735,4326031743
Confessions of a Shopaholic,Isla Fisher|Hugh Dancy|Krysten Ritter|Joan Cusack|John Goodman,P.J. Hogan,104,Comedy|Romance,Jerry Bruckheimer Films|Touchstone Pictures,2009,4065601736,110109447
101 Dalmatians II: Patch's London Adventure,Barry Bostwick|Jason Alexander|Martin Short|Bobby Lockwood|Susanne Blakeslee,Jim Kammerud|Brian Smith,70,Animation|Family,Walt Disney Pictures|Walt Disney Television Animation,2003,0,0
Cape Fear,Robert De Niro|Nick Nolte|Jessica Lange|Juliette Lewis|Joe Don Baker,Martin Scorsese,128,Crime|Thriller,Universal Pictures|Amblin Entertainment|Cappa Productions|Tribeca Productions,1991,5603824947,2918792251
Scream,David Arquette|Neve Campbell|Courteney Cox|Matthew Lillard|Rose McGowan,Wes Craven,111,Crime|Horror|Mystery,Woods Entertainment|Dimension Films,1996,1946303435,2405723675
Superman II,Gene Hackman|Christopher Reeve|Ned Beatty|Jackie Cooper|Sarah Douglas,Richard Lester,127,Action|Adventure|Fantasy|Science Fiction,Warner Bros.|Dovemead Films|Film Export A.G.,1980,1428859847,2862633542
Jaws: The Revenge,Lorraine Gary|Lance Guest|Mario Van Peebles|Michael Caine|Karen Young,Joseph Sargent,89,Adventure|Thriller,Universal Pictures,1987,4413885008,9956383716
The Man in the Iron Mask,Leonardo DiCaprio|Jeremy Irons|GÃ©rard Depardieu|Gabriel Byrne|John Malkovich,Randall Wallace,132,Action|Adventure|Drama,United Artists Corporation,1998,0,0
30 Days of Night,Josh Hartnett|Melissa George|Ben Foster|Danny Huston|Mark Boone Junior,David Slade,113,Horror|Thriller,Columbia Pictures|Dark Horse Entertainment|Ghost House Pictures|HorrorFlix,2007,3155005748,7940725961
Ghosts of Girlfriends Past,Matthew McConaughey|Jennifer Garner|Michael Douglas|Breckin Meyer|Lacey Chabert,Mark Waters,100,Fantasy|Comedy|Romance,New Line Cinema|Jon Shestack Productions|Panther,2009,0,103899775
Young Adult,Charlize Theron|Patton Oswalt|Patrick Wilson|Elizabeth Reaser|Collette Wolfe,Jason Reitman,94,Comedy|Drama|Romance,Paramount Pictures|Denver and Delilah Productions|Indian Paintbrush,2011,1163277651,2223704787
True Story,Jonah Hill|James Franco|Felicity Jones|Maria Dizzia|Ethan Suplee,Rupert Goold,100,Crime|Drama|Mystery,Plan B Entertainment|Regency Enterprises|New Regency Pictures,2015,0,4342117489
After Earth,Jaden Smith|Will Smith|Sophie Okonedo|ZoÃ« Kravitz|Glenn Morshower,M. Night Shyamalan,100,Science Fiction|Action|Adventure,Columbia Pictures|Blinding Edge Pictures|Overbrook Entertainment,2013,1216843359,2282452997
Under Siege,Steven Seagal|Tommy Lee Jones|Gary Busey|Erika Eleniak|Patrick O'Neal,Andrew Davis,103,Action|Thriller,Regency Enterprises|Alcor Films|Canal+|Warner Bros.,1992,5439084891,2433029154
Deep Impact,Robert Duvall|TÃ©a Leoni|Elijah Wood|Vanessa Redgrave|Morgan Freeman,Mimi Leder,120,Action|Adventure|Drama|Romance|Science Fiction,Paramount Pictures|DreamWorks SKG|Zanuck/Brown Productions|Manhattan Project,1998,1003271602,1878989446
Star Trek VI: The Undiscovered Country,William Shatner|Leonard Nimoy|DeForest Kelley|James Doohan|George Takei,Nicholas Meyer,113,Science Fiction|Action|Adventure|Thriller,Paramount Pictures,1991,4322950673,1551458964
Lost in Space,Gary Oldman|William Hurt|Matt LeBlanc|Mimi Rogers|Heather Graham,Stephen Hopkins,130,Adventure|Family|Science Fiction,New Line Cinema|Irwin Allen Productions|Prelude Pictures|Saltire Entertainment,1998,1070156375,1821398432
Doctor Zhivago,Omar Sharif|Julie Christie|Geraldine Chaplin|Rod Steiger|Alec Guinness,David Lean,197,Drama|Romance|War,Metro-Goldwyn-Mayer (MGM),1965,9688789171,7731785941
Old School,Luke Wilson|Will Ferrell|Vince Vaughn|Ellen Pompeo|Leah Remini,Todd Phillips,91,Comedy,DreamWorks SKG|The Montecito Picture Company,2003,2844846347,1031912882
Bill & Ted's Excellent Adventure,Keanu Reeves|Alex Winter|George Carlin|Dan Shor|Hal Landon Jr.,Stephen Herek,90,Adventure|Comedy|Science Fiction,Orion Pictures,1989,1758984939,7121257386
Coming to America,Eddie Murphy|Arsenio Hall|James Earl Jones|John Amos|Shari Headley,John Landis,116,Comedy|Romance,Paramount Pictures|Eddie Murphy Productions,1988,719117499,5324277757
EuroTrip,Scott Mechlowicz|Jacob Pitts|Michelle Trachtenberg|Travis Wester|Vinnie Jones,Jeff Schaffer,93,Comedy,DreamWorks SKG|The Montecito Picture Company|Blue Sea Productions,2004,28861135,2400882435
Only Lovers Left Alive,Tom Hiddleston|Tilda Swinton|Mia Wasikowska|John Hurt|Anton Yelchin,Jim Jarmusch,123,Drama|Romance,Pandora Film|Neue Road Movies|ARD/Degeto Film GmbH|Recorded Picture Company (RPC)|Snow Wolf Produktion,2013,6552233469,0
Max,Thomas Haden Church|Josh Wiggins|Lauren Graham|Robbie Amell|Mia Xitlali,Boaz Yakin,111,Adventure|Drama|Family,Sunswept Entertainment|Warner Bros.|Metro-Goldwyn-Mayer (MGM),2015,183999919,404498568
The Fox and the Hound,Mickey Rooney|Kurt Russell|Pearl Bailey|Jack Albertson|Sandy Duncan,Ted Berman|Art Stevens|Richard Rich,82,Adventure|Animation|Drama|Family,Walt Disney Productions,1981,2877828966,7146608598
Man on Fire,Denzel Washington|Dakota Fanning|Marc Anthony|Radha Mitchell|Christopher Walken,Tony Scott,146,Action|Drama|Thriller|Crime,Regency Enterprises|Fox 2000 Pictures|Epsilon Motion Pictures|Scott Free Productions|New Regency Pictures,2004,8081117799,1504169788
Casper,Christina Ricci|Bill Pullman|Cathy Moriarty|Eric Idle|Joe Nipote,Brad Silberling,100,Fantasy|Comedy|Family,Universal Pictures|Amblin Entertainment|The Harvey Entertainment Company,1995,7154834336,4120157057
The Heat,Sandra Bullock|Melissa McCarthy|DemiÃ¡n Bichir|Michael Rapaport|Taran Killam,Paul Feig,117,Action|Comedy|Crime,Ingenious Film Partners|Ingenious Media|Twentieth Century Fox Film Corporation|Chernin Entertainment|Big Screen Productions,2013,4024943417,1485243247
Lord of War,Nicolas Cage|Bridget Moynahan|Jared Leto|Ethan Hawke|Eamonn Walker,Andrew Niccol,122,Crime|Drama|Thriller,Saturn Films|Ascendant Pictures|Endgame Entertainment|Entertainment Manufacturing Company|Rising Star,2005,4689565817,2694032181
Look Who's Talking,John Travolta|Kirstie Alley|Olympia Dukakis|George Segal|Bruce Willis,Amy Heckerling,93,Comedy|Romance,TriStar Pictures|Management Company Entertainment Group (MCEG),1989,1319238704,520659542
Pineapple Express,Seth Rogen|James Franco|Danny McBride|Gary Cole|Rosie Perez,David Gordon Green,111,Action|Comedy,Columbia Pictures|Apatow Productions,2008,2734523911,1029242827
Zathura: A Space Adventure,Jonah Bobo|Josh Hutcherson|Dax Shepard|Tim Robbins|Frank Oz,Jon Favreau,101,Family|Fantasy|Science Fiction|Adventure,Columbia Pictures Corporation|Teitler Film|Michael De Luca Productions|Radar Pictures,2005,7257661383,7181902675
Iron Sky,Julia Dietze|Christopher Kirby|GÃ¶tz Otto|Udo Kier|Stephanie Paul,Timo Vuorensola,93,Action|Comedy|Science Fiction,Blind Spot Pictures Oy|27 Films Production|New Holland Pictures,2012,712308211,7726199171
The Lucky One,Zac Efron|Blythe Danner|Taylor Schilling|Jay R. Ferguson|Riley Thomas Stewart,Scott Hicks,101,Drama|Romance,Village Roadshow Pictures|DiNovi Pictures|Warner Bros.|Langley Park Production,2012,2374360703,9436387363
The Devil's Advocate,Keanu Reeves|Al Pacino|Charlize Theron|Jeffrey Jones|Judith Ivey,Taylor Hackford,144,Drama|Horror|Mystery|Thriller,Regency Enterprises|Monarchy Enterprises B.V.|Kopelson Entertainment|Warner Bros.|New Regency Pictures,1997,774322383,2077692519
Eat Pray Love,Julia Roberts|James Franco|Javier Bardem|Billy Crudup|Richard Jenkins,Ryan Murphy,133,Drama,Columbia Pictures|Red Om Films|Plan B Entertainment,2010,60000000,204594016
My Big Fat Greek Wedding,Nia Vardalos|John Corbett|Lainie Kazan|Michael Constantine|Andrea Martin,Joel Zwick,95,Comedy|Drama|Romance,MPH Entertainment|Playtone Productions|Gold Circle Films,2002,6061306968,4470141687
Blue Valentine,Ryan Gosling|Michelle Williams|Mike Vogel|John Doman|Faith Wladyka,Derek Cianfrance,112,Drama|Romance,Hunting Lane Films|Silverwood Films|Incentive Filmed Entertainment|Chrysler Corporation|Shade Pictures,2010,1000000,12355734
Project X,Oliver Cooper|Jonathan Daniel Brown|Thomas Mann|Dax Flame|Kirby Bliss Blanton,Nima Nourizadeh,88,Comedy|Crime,Silver Pictures|Green Hat Films,2012,1139693138,9497442814
Elektra,Jennifer Garner|Goran Visnjic|Will Yun Lee|Cary-Hiroyuki Tagawa|Terence Stamp,Rob Bowman,97,Action,Twentieth Century Fox Film Corporation|Regency Enterprises|Epsilon Motion Pictures|New Regency Pictures|Marvel Enterprises,2005,4801222146,632885558
The Golden Compass,Nicole Kidman|Daniel Craig|Dakota Blue Richards|Eva Green|Sam Elliott,Chris Weitz,113,Adventure|Fantasy,New Line Cinema|Ingenious Film Partners|Depth of Field|Scholastic Productions,2007,1893003449,3914677118
Beverly Hills Cop III,Eddie Murphy|Judge Reinhold|HÃ©ctor Elizondo|Gilbert R. Hill|Timothy Carhart,John Landis,104,Action|Comedy|Crime,Paramount Pictures|Eddie Murphy Productions,1994,7355557808,175369722
Gamer,Gerard Butler|Michael C. Hall|Logan Lerman|Amber Valletta|Terry Crews,Mark Neveldine|Brian Taylor,95,Action|Thriller|Science Fiction,Lakeshore Entertainment|Lionsgate,2009,5082002171,4149814578
The Ring Two,Naomi Watts|Simon Baker|Elizabeth Perkins|David Dorfman|Gary Cole,Hideo Nakata,110,Drama|Horror|Thriller,DreamWorks SKG|BenderSpink|Parkes+MacDonald Image Nation,2005,0,1802708604
Corpse Bride,Johnny Depp|Helena Bonham Carter|Emily Watson|Tracey Ullman|Paul Whitehouse,Tim Burton|Mike Johnson,77,Romance|Fantasy|Animation|Music,Tim Burton Animation Company|Will Vinton Studios|Warner Bros.|Tim Burton Productions|Laika Entertainment,2005,4466253159,1308557028
Anaconda 4: Trail of Blood,John Rhys-Davies|Crystal Allen|Linden Ashby|Danny Midwinter|Calin Stanciu,Don E. FauntLeRoy,89,Action|Horror|Science Fiction,Hollywood Media Bridge|Stage 6 Films,2009,0,0
About a Boy,Hugh Grant|Nicholas Hoult|Toni Collette|Rachel Weisz|Sharon Small,Chris Weitz|Paul Weitz,101,Drama|Comedy|Romance,Universal Pictures,2002,3273105763,1563817198
Carrie,Sissy Spacek|Piper Laurie|Amy Irving|William Katt|Betty Buckley,Brian De Palma,98,Horror|Thriller,United Artists,1976,6897056451,1295113934
Superman III,Christopher Reeve|Richard Pryor|Jackie Cooper|Marc McClure|Annette O'Toole,Richard Lester,125,Comedy|Action|Adventure|Fantasy|Science Fiction,Warner Bros.|Dovemead Films|Cantharus Productions,1983,8538316791,1659498494
Saving Mr. Banks,Emma Thompson|Tom Hanks|Paul Giamatti|Colin Farrell|Ruth Wilson,John Lee Hancock,125,Comedy|Drama|History,Walt Disney Pictures|BBC Films|Ruby Films|Essential Media & Entertainment|Hopscotch Features,2013,3276116735,1053454806
Mr. Nobody,Jared Leto|Diane Kruger|Linh Äan Pháº¡m|Sarah Polley|Rhys Ifans,Jaco Van Dormael,141,Science Fiction|Drama|Romance|Fantasy,Pan EuropÃ©enne Production|Virtual Films,2009,477708204,3605384768
The Naked Gun 2Â½: The Smell of Fear,Leslie Nielsen|Priscilla Presley|George Kennedy|O.J. Simpson|Robert Goulet,David Zucker,85,Action|Comedy|Crime,Paramount Pictures,1991,3682513536,1391836588
The Lake House,Keanu Reeves|Sandra Bullock|Shohreh Aghdashloo|Christopher Plummer|Ebon Moss-Bachrach,Alejandro Agresti,99,Romance|Drama|Mystery,Village Roadshow Pictures|Vertigo Entertainment|Sound for Film|Warner Bros.,2006,4326676633,1242081895
The Santa Clause,Tim Allen|Judge Reinhold|Wendy Crewson|David Krumholtz|Peter Boyle,John Pasquin,97,Fantasy|Drama|Comedy|Family,Walt Disney Pictures|Hollywood Pictures,1994,3236445436,2792660463
The Hunchback of Notre Dame II,Tom Hulce|Jennifer Love Hewitt|Kevin Kline|Michael McKean|Demi Moore,Bradley Raymond,68,Adventure|Animation|Family|Romance,Walt Disney Pictures|Walt Disney Television Animation|Walt Disney Animation Japan,2002,0,0
The Long Kiss Goodnight,Geena Davis|Samuel L. Jackson|Yvonne Zima|Craig Bierko|Tom Amandes,Renny Harlin,120,Action|Crime|Drama|Mystery|Thriller,New Line Cinema|Forge|The Steve Tisch Company,1996,9036408803,1243642866
It Takes Two,Kirstie Alley|Steve Guttenberg|Ashley Olsen|Mary-Kate Olsen|Jane Sibbett,Andy Tennant,101,Comedy|Family|Romance,Warner Bros. Pictures|Rysher Entertainment,1995,0,0
The Bounty Hunter,Gerard Butler|Jennifer Aniston|Gio Perez|Siobhan Fallon|Joel Garland,Andy Tennant,110,Action,Columbia Pictures|Original Film|Relativity Media|Madhouse Entertainment,2010,40000000,136000000
The Wrestler,Mickey Rourke|Marisa Tomei|Evan Rachel Wood|Ajay Naidu|Judah Friedlander,Darren Aronofsky,109,Drama|Romance,Saturn Films|Wild Bunch|Protozoa Pictures|Top Rope,2008,6076719803,4527560861
The Bone Collector,Denzel Washington|Angelina Jolie|Queen Latifah|Michael Rooker|Michael McGlone,Phillip Noyce,118,Drama|Mystery|Thriller|Crime,Universal Pictures|Columbia Pictures Corporation,1999,955608578,1983132003
Once,Glen Hansard|MarkÃ©ta IrglovÃ¡|Hugh Walsh|Gerard Hendrick|Alaistair Foley,John Carney,85,Drama|Music|Romance,Summit Entertainment|Samson Films|RTE,2007,1682669732,2178059585
Shaun the Sheep Movie,Justin Fletcher|Omid Djalili|Richard Webber|Kate Harbour|Tim Hands,Mark Burton|Richard Starzack,85,Family|Animation|Comedy|Adventure,Aardman Animations|Studio Canal|Anton Capital Entertainment (ACE),2015,0,5492397583
Legends of the Fall,Brad Pitt|Anthony Hopkins|Aidan Quinn|Julia Ormond|Henry Thomas,Edward Zwick,133,Drama|Western|War|Romance,Bedford Falls Productions|TriStar Pictures|Pangaea,1994,4413334685,236317718
Contraband,Mark Wahlberg|Kate Beckinsale|Ben Foster|Giovanni Ribisi|J.K. Simmons,Baltasar KormÃ¡kur,109,Thriller|Action|Drama|Crime,Universal Pictures|StudioCanal|Relativity Media|Leverage Management|Closest to the Hole Productions,2012,2374360703,5992886415
Louder Than Bombs,Gabriel Byrne|Isabelle Huppert|Jesse Eisenberg|Devin Druid|Amy Ryan,Joachim Trier,109,Drama,Motlys|Arte France CinÃ©ma|Animal Kingdom,2015,1011999555,0
Kick-Ass 2,Aaron Taylor-Johnson|ChloÃ« Grace Moretz|Christopher Mintz-Plasse|Clark Duke|Jim Carrey,Jeff Wadlow,103,Action|Adventure|Crime,Universal Pictures|Marv Films,2013,2620893388,2714496723
An American Tail,Phillip Glasser|Dom DeLuise|Nehemiah Persoff|Erica Yohn|Amy Green,Don Bluth,80,Drama|Family|Animation|Adventure,Universal Pictures|Amblin Entertainment,1986,0,1681884008
Mad Max 2,Mel Gibson|Bruce Spence|Michael Preston|Max Phipps|Vernon Wells,George Miller,95,Adventure|Action|Thriller|Science Fiction,Kennedy Miller Productions,1981,479638161,5899748909
Conan the Destroyer,Arnold Schwarzenegger|Grace Jones|Wilt Chamberlain|Tracey Walter|Mako,Richard Fleischer,103,Adventure|Fantasy|Action,De Laurentiis Entertainment Group,1984,3778275671,6515853645
Warrior,Tom Hardy|Jennifer Morrison|Nick Nolte|Joel Edgerton|Frank Grillo,Gavin O'Connor,140,Action|Drama,Solaris Film|Lionsgate|Mimran Schur Pictures|Filmtribe,2011,2423495106,2235152215
Abduction,Taylor Lautner|Lily Collins|Alfred Molina|Jason Isaacs|Maria Bello,John Singleton,106,Thriller|Action|Mystery,Lions Gate Films|Vertigo Entertainment|Gotham Group|Tailor Made|Mango Farms,2011,3392893149,7957512738
Friday the 13th,Betsy Palmer|Adrienne King|Harry Crosby|Laurie Bartram|Jeannine Taylor,Sean S. Cunningham,95,Horror,Paramount Pictures|Georgetown Productions Inc.|Sean S. Cunningham Films,1980,1455320214,1581128704
Unknown,Liam Neeson|Diane Kruger|January Jones|Aidan Quinn|Bruno Ganz,Jaume Collet-Serra,113,Action|Mystery|Thriller,Studio Babelsberg|StudioCanal|Dark Castle Entertainment|TF1 Films Production|Canal+,2011,2908194128,1267840772
A Perfect Day,Olga Kurylenko|Benicio del Toro|Tim Robbins|MÃ©lanie Thierry|Fedja Stukan,Fernando LeÃ³n de Aranoa,106,Comedy|Drama,Reposado Producciones|TelevisiÃ³n EspaÃ±ola (TVE)|Mediapro,2015,0,1566237671
Stuck in Love,Greg Kinnear|Logan Lerman|Lily Collins|Jennifer Connelly|Kristen Bell,Josh Boone,97,Drama|Comedy,Informant Media|MICA Entertainment|Troy Entertainment,2012,0,7699671863
Rocky V,Sylvester Stallone|Talia Shire|Burt Young|Sage Stallone|Burgess Meredith,John G. Avildsen,104,Drama,United Artists,1990,7009373869,2001783018
The Negotiator,Samuel L. Jackson|Kevin Spacey|David Morse|Ron Rifkin|John Spencer,F. Gary Gray,140,Action|Adventure|Crime|Drama|Mystery,Regency Enterprises|Warner Bros.,1998,6688477345,5959123103
Dazed and Confused,Jason London|Rory Cochrane|Wiley Wiggins|Sasha Jenson|Michelle Burke,Richard Linklater,102,Comedy|Drama,Gramercy Pictures|Alphaville Productions,1993,1041534274,1206525227
Scary Movie 4,Anna Faris|Regina Hall|Craig Bierko|Bill Pullman|Anthony Anderson,David Zucker,83,Comedy,Dimension Films,2006,4867511212,1928211781
Rocky III,Sylvester Stallone|Talia Shire|Burt Young|Carl Weathers|Burgess Meredith,Sylvester Stallone,99,Drama,United Artists,1982,3841392084,2801956579
The Adjustment Bureau,Matt Damon|Emily Blunt|John Slattery|Anthony Mackie|Lauren Hodges,George Nolfi,106,Thriller|Romance|Fantasy,Universal Pictures|Media Rights Capital|Gambit Pictures|Electric Shepherd Productions,2011,4866378174,1239563257
Planes: Fire & Rescue,Dane Cook|Ed Harris|Julie Bowen|Curtis Armstrong|John Michael Higgins,Roberts Gannaway,83,Animation|Comedy|Adventure|Family,Walt Disney Pictures|DisneyToon Studios|Prana Studios|Prana Animation Studios,2014,4605455254,1392374536
Coyote Ugly,Piper Perabo|Adam Garcia|John Goodman|Izabella Miko|Tyra Banks,David McNally,100,Comedy,Jerry Bruckheimer Films|Touchstone Pictures,2000,5698314515,1442515327
Immortals,Mickey Rourke|Kellan Lutz|Isabel Lucas|Henry Cavill|Luke Evans,Tarsem Singh,110,Fantasy|Action|Drama,Virgin Produced|Mark Canton Productions,2011,7270485319,2199603099
Blown Away,Jeff Bridges|Tommy Lee Jones|Suzy Amis|Lloyd Bridges|Forest Whitaker,Stephen Hopkins,121,Drama|Action|Thriller,Trilogy Entertainment Group|Metro-Goldwyn-Mayer (MGM),1994,0,4436284319
